ciudad,ocupacion,sexo,Hombres,Mujeres
CUCUTA A.M.,No informa,primariacompleta,16.1,37
CUCUTA A.M.,No informa,secundariaincompleta,23.9,12
CUCUTA A.M.,No informa,secundariacompleta,34,26.4
CUCUTA A.M.,No informa,superiorincompleta,5.2,0
CUCUTA A.M.,No informa,superiorcompleta,0,0
CUCUTA A.M.,P. Administrativo.,noinforma,0,0
CUCUTA A.M.,P. Administrativo.,ninguno,2,0.7
CUCUTA A.M.,P. Administrativo.,primariaincompleta,2.6,0.8
CUCUTA A.M.,P. Administrativo.,primariacompleta,4.4,2.3
CUCUTA A.M.,P. Administrativo.,secundariaincompleta,16.4,6.4
CUCUTA A.M.,P. Administrativo.,secundariacompleta,38.3,30.3
CUCUTA A.M.,P. Administrativo.,superiorincompleta,27.5,49.6
CUCUTA A.M.,P. Administrativo.,superiorcompleta,8.8,9.9
CUCUTA A.M.,Profesionales y tecnicos,noinforma,0,0
CUCUTA A.M.,Profesionales y tecnicos,ninguno,0,0
CUCUTA A.M.,Profesionales y tecnicos,primariaincompleta,2.5,0
CUCUTA A.M.,Profesionales y tecnicos,primariacompleta,0.9,0
CUCUTA A.M.,Profesionales y tecnicos,secundariaincompleta,1.5,1.2
CUCUTA A.M.,Profesionales y tecnicos,secundariacompleta,11.1,5.3
CUCUTA A.M.,Profesionales y tecnicos,superiorincompleta,29.8,13.4
CUCUTA A.M.,Profesionales y tecnicos,superiorcompleta,54.2,80.1
CUCUTA A.M.,Trab Agropecuarios y forestales,noinforma,0,0
CUCUTA A.M.,Trab Agropecuarios y forestales,ninguno,4.7,100
CUCUTA A.M.,Trab Agropecuarios y forestales,primariaincompleta,30.2,0
CUCUTA A.M.,Trab Agropecuarios y forestales,primariacompleta,21.8,0
CUCUTA A.M.,Trab Agropecuarios y forestales,secundariaincompleta,17.8,0
CUCUTA A.M.,Trab Agropecuarios y forestales,secundariacompleta,21,0
CUCUTA A.M.,Trab Agropecuarios y forestales,superiorincompleta,4.6,0
CUCUTA A.M.,Trab Agropecuarios y forestales,superiorcompleta,0,0
CUCUTA A.M.,Trab de los servicios,noinforma,0,0
CUCUTA A.M.,Trab de los servicios,ninguno,1.8,5
CUCUTA A.M.,Trab de los servicios,primariaincompleta,9.8,14.5
CUCUTA A.M.,Trab de los servicios,primariacompleta,14.2,16
CUCUTA A.M.,Trab de los servicios,secundariaincompleta,13.4,25.5
CUCUTA A.M.,Trab de los servicios,secundariacompleta,48.2,26.1
CUCUTA A.M.,Trab de los servicios,superiorincompleta,9.9,11.2
CUCUTA A.M.,Trab de los servicios,superiorcompleta,2.7,1.7
CUCUTA A.M.,Trab/operad no agricolas,noinforma,0.3,0
CUCUTA A.M.,Trab/operad no agricolas,ninguno,3.9,1.4
CUCUTA A.M.,Trab/operad no agricolas,primariaincompleta,15.2,13.6
CUCUTA A.M.,Trab/operad no agricolas,primariacompleta,18.7,20.8
CUCUTA A.M.,Trab/operad no agricolas,secundariaincompleta,29.6,28.4
CUCUTA A.M.,Trab/operad no agricolas,secundariacompleta,24.7,24.4
CUCUTA A.M.,Trab/operad no agricolas,superiorincompleta,5.5,9.9
CUCUTA A.M.,Trab/operad no agricolas,superiorcompleta,2.2,1.5
IBAGUE,Comerciantes y vendedores,noinforma,0,0
IBAGUE,Comerciantes y vendedores,ninguno,3.7,1.2
IBAGUE,Comerciantes y vendedores,primariaincompleta,9.3,6.8
IBAGUE,Comerciantes y vendedores,primariacompleta,11.1,11.4
IBAGUE,Comerciantes y vendedores,secundariaincompleta,23.4,18.6
IBAGUE,Comerciantes y vendedores,secundariacompleta,26.5,33.4
IBAGUE,Comerciantes y vendedores,superiorincompleta,17.3,20
IBAGUE,Comerciantes y vendedores,superiorcompleta,8.6,8.5
IBAGUE,Dir/func Publicos superiores,noinforma,0,0
IBAGUE,Dir/func Publicos superiores,ninguno,2.8,0
IBAGUE,Dir/func Publicos superiores,primariaincompleta,5.7,3.9
IBAGUE,Dir/func Publicos superiores,primariacompleta,0,3.7
IBAGUE,Dir/func Publicos superiores,secundariaincompleta,5.1,3.9
IBAGUE,Dir/func Publicos superiores,secundariacompleta,15.5,8.1
IBAGUE,Dir/func Publicos superiores,superiorincompleta,12.6,10.7
